date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,tier,outcome_home,elo_home,elo_away,elo_diff
2000-02-27,Canada,Colombia,2.0,0.0,Gold Cup,Los Angeles,United States,True,1,1.0,1547.9769197989083,1516.996251294937,30.980668503971174
2000-02-27,Botswana,Lesotho,1.0,0.0,Friendly,Gaborone,Botswana,False,4,1.0,1500.0,1505.0,-5.0
2000-02-27,British Virgin Islands,Anguilla,5.0,0.0,Friendly,Road Town,British Virgin Islands,False,4,1.0,1485.4865747944589,1504.8611280031344,-19.37455320867548
2000-02-27,Thailand,Finland,5.0,1.0,King's Cup,Bangkok,Thailand,False,3,1.0,1487.7079639661652,1514.7326035750204,-27.024639608855296
2000-02-29,Uzbekistan,Mongolia,8.0,1.0,Friendly,Tashkent,Uzbekistan,False,4,1.0,1500.0,1500.0,0.0
2000-02-29,El Salvador,Panama,3.0,1.0,Friendly,San Salvador,El Salvador,False,4,1.0,1482.2942344668256,1515.6150322026629,-33.32079773583723
2000-02-29,Barbados,Antigua and Barbuda,2.0,2.0,Friendly,Bridgetown,Barbados,False,4,0.5,1504.9330482624516,1492.5,12.43304826245162
2000-03-01,Zambia,Lesotho,2.0,0.0,Friendly,Lusaka,Zambia,False,4,1.0,1471.9415633476635,1499.9280491829095,-27.986485835245958
2000-03-04,Honduras,Nicaragua,3.0,0.0,FIFA World Cup qualification,San Pedro Sula,Honduras,False,2,1.0,1528.9047827724983,1500.0,28.904782772498265
2000-03-04,Trinidad and Tobago,Curaçao,5.0,0.0,FIFA World Cup qualification,Macoya,Trinidad and Tobago,False,2,1.0,1490.3003590441895,1500.0,-9.699640955810537
2000-03-05,Zimbabwe,Lesotho,2.0,1.0,COSAFA Cup,Harare,Zimbabwe,False,3,1.0,1500.0,1491.8252155991163,8.17478440088371
2000-03-05,Saint Vincent and the Grenadines,United States Virgin Islands,9.0,0.0,FIFA World Cup qualification,Kingstown,Saint Vincent and the Grenadines,False,2,1.0,1500.0,1480.5387389041766,19.461261095823374
